endpoint;asn;holder
2001:4860::3:0:9798;15169;GOOGLE - Google LLC
2001:4860:0:1::13eb;15169;GOOGLE - Google LLC
2001:4860:0:1::40b;15169;GOOGLE - Google LLC
2404:6800:400a:d::c;15169;GOOGLE - Google LLC
216.239.49.17;15169;GOOGLE - Google LLC
72.14.236.107;15169;GOOGLE - Google LLC
173.194.49.232;15169;GOOGLE - Google LLC
2001:4860::1:0:bcda;15169;GOOGLE - Google LLC
2001:4860::1:0:ab2f;15169;GOOGLE - Google LLC
2001:4860::3:0:9a0b;15169;GOOGLE - Google LLC
2001:4860:0:1::1447;15169;GOOGLE - Google LLC
2001:4860:0:1::1a75;15169;GOOGLE - Google LLC
2404:6800:400a:8::b;15169;GOOGLE - Google LLC
2001:638:709:702::1;680;DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
212.201.44.93;680;DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
2001:4860::1:0:6e0f;15169;GOOGLE - Google LLC
2001:4860::8:0:8f90;15169;GOOGLE - Google LLC
2001:4860::8:0:abf3;15169;GOOGLE - Google LLC
2001:4860::1:0:abf0;15169;GOOGLE - Google LLC
2001:4860::3:0:abe4;15169;GOOGLE - Google LLC
2001:4860:0:1::d0b;15169;GOOGLE - Google LLC
2001:4860:0:1::6cf;15169;GOOGLE - Google LLC
2a00:1450:4001:29::8;15169;GOOGLE - Google LLC
2001:470:28:35e::1;6939;HURRICANE - Hurricane Electric LLC
2001:470:27:35e::1;6939;HURRICANE - Hurricane Electric LLC
2001:470:0:11e::1;6939;HURRICANE - Hurricane Electric LLC
2001:4860::1:0:26eb;15169;GOOGLE - Google LLC
2001:4860::8:0:4fc9;15169;GOOGLE - Google LLC
2001:4860::1:0:87ab;15169;GOOGLE - Google LLC
2001:4860::3:0:87ad;15169;GOOGLE - Google LLC
2001:4860:0:1::1527;15169;GOOGLE - Google LLC
2001:4860:0:1::af7;15169;GOOGLE - Google LLC
2a00:1450:401c:1b::7;15169;GOOGLE - Google LLC
213.200.142.3;39651;COMHEM-SWEDEN - Com Hem AB
213.200.165.87;39651;COMHEM-SWEDEN - Com Hem AB
213.200.166.33;39651;COMHEM-SWEDEN - Com Hem AB
213.200.162.253;39651;COMHEM-SWEDEN - Com Hem AB
213.200.162.36;39651;COMHEM-SWEDEN - Com Hem AB
83.255.235.81;39651;COMHEM-SWEDEN - Com Hem AB
2001:4860::8:0:517a;15169;GOOGLE - Google LLC
2001:4860::8:0:87b0;15169;GOOGLE - Google LLC
2001:4860::3:0:87b6;15169;GOOGLE - Google LLC
2001:4860:0:1::1531;15169;GOOGLE - Google LLC
213.200.165.85;39651;COMHEM-SWEDEN - Com Hem AB
213.200.166.31;39651;COMHEM-SWEDEN - Com Hem AB
213.200.162.251;39651;COMHEM-SWEDEN - Com Hem AB
213.200.162.30;39651;COMHEM-SWEDEN - Com Hem AB
83.255.236.14;39651;COMHEM-SWEDEN - Com Hem AB
2001:4860::1:0:26ec;15169;GOOGLE - Google LLC
2001:4860::8:0:b1b6;15169;GOOGLE - Google LLC
2001:4860::8:0:87b2;15169;GOOGLE - Google LLC
2001:4860:0:1::95f;15169;GOOGLE - Google LLC
2a00:1450:400e:24::e;15169;GOOGLE - Google LLC
2001:4860::3:0:87ae;15169;GOOGLE - Google LLC
2001:4860:0:1::152b;15169;GOOGLE - Google LLC
2a00:1450:400e:24::13;15169;GOOGLE - Google LLC
213.200.162.32;39651;COMHEM-SWEDEN - Com Hem AB
83.255.236.13;39651;COMHEM-SWEDEN - Com Hem AB
2001:4860::8:0:4fc8;15169;GOOGLE - Google LLC
2001:4860::8:0:8f8e;15169;GOOGLE - Google LLC
2001:4860::3:0:87af;15169;GOOGLE - Google LLC
2001:4860:0:1::152f;15169;GOOGLE - Google LLC
2001:4860::8:0:519e;15169;GOOGLE - Google LLC
2001:4860:0:1::1529;15169;GOOGLE - Google LLC
2001:4860::8:0:b1b7;15169;GOOGLE - Google LLC
2001:4860::3:0:87b5;15169;GOOGLE - Google LLC
2001:4860:0:1::153d;15169;GOOGLE - Google LLC
2001:4860:0:1::a79;15169;GOOGLE - Google LLC
2001:4860::3:0:87b3;15169;GOOGLE - Google LLC
2001:4860:0:1::4bf;15169;GOOGLE - Google LLC
2001:4860::8:0:8f8f;15169;GOOGLE - Google LLC
213.219.132.17;9031;EDPNET
212.71.11.61;9031;EDPNET
212.71.1.225;9031;EDPNET
80.249.208.247;1200;AMS-IX1 - Amsterdam Internet Exchange B.V.
216.239.42.15;15169;GOOGLE - Google LLC
216.239.54.95;15169;GOOGLE - Google LLC
173.194.156.231;15169;GOOGLE - Google LLC
2a02:578:8500:100::1;9031;EDPNET
2a02:578:8000:5::1;9031;EDPNET
2a02:578:1:3c::1;9031;EDPNET
2a02:578:1:1d::1;9031;EDPNET
2001:7f8:1::a501:5169:1;1200;AMS-IX1 - Amsterdam Internet Exchange B.V.
2001:4860:0:1::4bd;15169;GOOGLE - Google LLC
2001:4860:0:1::af9;15169;GOOGLE - Google LLC
2001:4860:0:1::14ac;15169;GOOGLE - Google LLC
2001:4860:0:1::aff;15169;GOOGLE - Google LLC
2a00:1450:400e:48::15;15169;GOOGLE - Google LLC
216.239.41.150;15169;GOOGLE - Google LLC
209.85.253.211;15169;GOOGLE - Google LLC
173.194.153.172;15169;GOOGLE - Google LLC
2a00:1450:400e:24::18;15169;GOOGLE - Google LLC
210.151.249.216;2518;BIGLOBE BIGLOBE Inc.
218.227.246.178;2518;BIGLOBE BIGLOBE Inc.
133.205.60.242;2518;BIGLOBE BIGLOBE Inc.
122.135.0.78;2518;BIGLOBE BIGLOBE Inc.
111.168.0.242;2518;BIGLOBE BIGLOBE Inc.
122.130.0.69;2518;BIGLOBE BIGLOBE Inc.
122.132.0.125;2518;BIGLOBE BIGLOBE Inc.
111.168.255.209;2518;BIGLOBE BIGLOBE Inc.
122.135.0.74;2518;BIGLOBE BIGLOBE Inc.
122.130.0.182;2518;BIGLOBE BIGLOBE Inc.
122.130.0.37;2518;BIGLOBE BIGLOBE Inc.
122.132.0.45;2518;BIGLOBE BIGLOBE Inc.
220.102.0.77;2518;BIGLOBE BIGLOBE Inc.
2001:984:3d24:0:46d9:e7ff:fe40:e7d0;3265;XS4ALL-NL - Xs4all Internet BV
2001:888:1:1001::1;3265;XS4ALL-NL - Xs4all Internet BV
2001:888:1:4023::1;3265;XS4ALL-NL - Xs4all Internet BV
2001:888:2000:3c::11;3265;XS4ALL-NL - Xs4all Internet BV
194.109.5.175;3265;XS4ALL-NL - Xs4all Internet BV
194.109.7.173;3265;XS4ALL-NL - Xs4all Internet BV
194.109.5.82;3265;XS4ALL-NL - Xs4all Internet BV
82.94.228.145;3265;XS4ALL-NL - Xs4all Internet BV
2001:888:1:4024::1;3265;XS4ALL-NL - Xs4all Internet BV
2001:888:1:4014::2;3265;XS4ALL-NL - Xs4all Internet BV
2001:888:2000:3c::c;3265;XS4ALL-NL - Xs4all Internet BV
194.109.7.169;3265;XS4ALL-NL - Xs4all Internet BV
82.94.228.140;3265;XS4ALL-NL - Xs4all Internet BV
80.168.0.7;8426;CLARANET-AS - ClaraNET LTD
195.157.0.17;8426;CLARANET-AS - ClaraNET LTD
213.253.9.206;8426;CLARANET-AS - ClaraNET LTD
2001:a88:d510:1101:21d:aaff:fecb:70e0;8426;CLARANET-AS - ClaraNET LTD
2001:a88::12;8426;CLARANET-AS - ClaraNET LTD
2001:a88::1b;8426;CLARANET-AS - ClaraNET LTD
2001:a88:1:1c::e;8426;CLARANET-AS - ClaraNET LTD
213.253.9.204;8426;CLARANET-AS - ClaraNET LTD
2001:a88:1:1c::c;8426;CLARANET-AS - ClaraNET LTD
82.143.12.41;29449;TWS-AS - TWS ITALIA SRL
82.143.31.61;29449;TWS-AS - TWS ITALIA SRL
82.143.31.37;29449;TWS-AS - TWS ITALIA SRL
216.239.47.128;15169;GOOGLE - Google LLC
209.85.241.93;15169;GOOGLE - Google LLC
209.85.244.218;15169;GOOGLE - Google LLC
74.125.111.167;15169;GOOGLE - Google LLC
66.249.95.73;15169;GOOGLE - Google LLC
74.125.14.11;15169;GOOGLE - Google LLC
192.71.21.225;43065;AS_INTERLAN_SE - Interlan Networks AB
213.141.76.252;16117;GAVLENET - Gavle Energi AB
213.141.65.250;16117;GAVLENET - Gavle Energi AB
62.209.171.101;24862;CLSE-AS - IP-Only Networks AB
72.14.202.200;15169;GOOGLE - Google LLC
216.239.40.27;15169;GOOGLE - Google LLC
66.249.95.235;15169;GOOGLE - Google LLC
173.194.19.140;15169;GOOGLE - Google LLC
2001:67c:2448:8::1;43065;AS_INTERLAN_SE - Interlan Networks AB
2001:b48:10:ffff::1;16117;GAVLENET - Gavle Energi AB
2001:b48:0:ff01::2;16117;GAVLENET - Gavle Energi AB
2a01:2b0:2000:ec::1;12552;IPO-EU - IP-Only Networks AB
2001:4860:1:1:0:3108:0:1;15169;GOOGLE - Google LLC
2001:4860:0:1::e2b;15169;GOOGLE - Google LLC
2001:4860:0:1::137f;15169;GOOGLE - Google LLC
2a00:1450:400f:c::c;15169;GOOGLE - Google LLC
216.239.54.181;15169;GOOGLE - Google LLC
209.85.251.227;15169;GOOGLE - Google LLC
2001:4860:0:1::1379;15169;GOOGLE - Google LLC
2001:4860:0:1::41d;15169;GOOGLE - Google LLC
72.14.236.133;15169;GOOGLE - Google LLC
173.194.19.167;15169;GOOGLE - Google LLC
2001:4860:0:1::773;15169;GOOGLE - Google LLC
2a00:1450:400f:e::7;15169;GOOGLE - Google LLC
82.76.231.18;8708;RCS-RDS - RCS & RDS SA
200.129.11.1;1916;Associação Rede Nacional de Ensino e Pesquisa
200.143.255.205;1916;Associação Rede Nacional de Ensino e Pesquisa
200.143.253.26;1916;Associação Rede Nacional de Ensino e Pesquisa
216.239.54.29;15169;GOOGLE - Google LLC
74.125.37.105;15169;GOOGLE - Google LLC
173.194.136.50;15169;GOOGLE - Google LLC
2001:1291:200:3d3::2;16735;ALGAR TELECOM S/A
2001:1291:200:3d3::1;16735;ALGAR TELECOM S/A
2001:1291:2::b;16735;ALGAR TELECOM S/A
2001:1291:2::a;16735;ALGAR TELECOM S/A
2001:1291:0:37::a;16735;ALGAR TELECOM S/A
2001:1291:0:153::b;16735;ALGAR TELECOM S/A
2001:1291:0:4a::b;16735;ALGAR TELECOM S/A
2001:1291:0:122::c;16735;ALGAR TELECOM S/A
2001:1291:0:122::d;16735;ALGAR TELECOM S/A
216.239.43.79;15169;GOOGLE - Google LLC
