ip;asn;holder
2a00:1450:400f:8::c;15169;GOOGLE - Google LLC
82.76.231.12;8708;RCS-RDS - RCS & RDS SA
173.194.27.235;15169;GOOGLE - Google LLC
2001:1291:0:91::c;16735;ALGAR TELECOM S/A
2800:3f0:4001:9::b;15169;GOOGLE - Google LLC
149.3.176.44;6762;SEABONE-NET - TELECOM ITALIA SPARKLE S.p.A.
149.3.177.108;6762;SEABONE-NET - TELECOM ITALIA SPARKLE S.p.A.
74.125.14.237;15169;GOOGLE - Google LLC
173.194.8.13;15169;GOOGLE - Google LLC
2607:f8b0:4007:14::d;15169;GOOGLE - Google LLC
2607:f8b0:4002:e::d;15169;GOOGLE - Google LLC
74.125.7.13;15169;GOOGLE - Google LLC
173.194.130.13;15169;GOOGLE - Google LLC
2607:f8b0:4006:1b::d;15169;GOOGLE - Google LLC
74.125.3.103;15169;GOOGLE - Google LLC
173.194.29.236;15169;GOOGLE - Google LLC
2607:f8b0:400f:3::d;15169;GOOGLE - Google LLC
74.125.161.109;15169;GOOGLE - Google LLC
173.194.12.108;15169;GOOGLE - Google LLC
173.194.55.107;15169;GOOGLE - Google LLC
2607:f8b0:4005:8::c;15169;GOOGLE - Google LLC
74.125.172.237;15169;GOOGLE - Google LLC
173.194.31.188;15169;GOOGLE - Google LLC
173.194.130.45;15169;GOOGLE - Google LLC
173.194.31.252;15169;GOOGLE - Google LLC
173.194.151.156;15169;GOOGLE - Google LLC
2a00:1450:401e:39::c;15169;GOOGLE - Google LLC
173.194.21.205;15169;GOOGLE - Google LLC
220.102.0.82;2518;BIGLOBE BIGLOBE Inc.
2404:6800:400a:1::b;15169;GOOGLE - Google LLC
193.212.4.50;2119;TELENOR-NEXTEL - Telenor Norge AS
2607:f8b0:4006:19::b;15169;GOOGLE - Google LLC
184.150.152.140;577;BACOM - Bell Canada
2607:f8b0:400b:7::d;15169;GOOGLE - Google LLC
2620:11a:a00a::1d;36040;YOUTUBE - Google LLC
194.78.0.144;5432;BELGACOM-SKYNET-AS - Proximus NV
2a02:a000:2:202::10;5432;BELGACOM-SKYNET-AS - Proximus NV
173.194.13.105;15169;GOOGLE - Google LLC
2a00:1450:401f:11::9;15169;GOOGLE - Google LLC
64.15.112.19;43515;YOUTUBE - Google Ireland Limited
2a00:1450:4001:4d::6;15169;GOOGLE - Google LLC
74.125.160.201;15169;GOOGLE - Google LLC
173.194.16.233;15169;GOOGLE - Google LLC
2a00:1450:4005:4::9;15169;GOOGLE - Google LLC
109.105.109.207;2603;NORDUNET - NORDUnet
2001:948:7:1::f;2603;NORDUNET - NORDUnet
173.194.16.105;15169;GOOGLE - Google LLC
2a00:1450:400a:5::9;15169;GOOGLE - Google LLC
2001:1700:b00::c;6730;SUNRISE - Sunrise Communications AG
2a00:1450:401c:14::a;15169;GOOGLE - Google LLC
83.255.236.79;39651;COMHEM-SWEDEN - Com Hem AB
173.194.156.70;15169;GOOGLE - Google LLC
